ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
34727,Carlotta Ferlito,F,17,160,50,Italy,ITA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,NA
34727,Carlotta Ferlito,F,17,160,50,Italy,ITA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,NA
34727,Carlotta Ferlito,F,17,160,50,Italy,ITA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,NA
34727,Carlotta Ferlito,F,17,160,50,Italy,ITA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,NA
34727,Carlotta Ferlito,F,21,160,50,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,NA
34727,Carlotta Ferlito,F,21,160,50,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,NA
34727,Carlotta Ferlito,F,21,160,50,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,NA
34727,Carlotta Ferlito,F,21,160,50,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,NA
34727,Carlotta Ferlito,F,21,160,50,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,NA
34728,Anne Birgitta Ferm,F,28,169,61,Sweden,SWE,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,NA
34729,Bjrn Bernt Ewald Ferm,M,24,180,72,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
34729,Bjrn Bernt Ewald Ferm,M,24,180,72,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Team,NA
34729,Bjrn Bernt Ewald Ferm,M,28,180,72,Sweden,SWE,1972 Summer,1972,Summer,Munich,Modern Pentathlon,Modern Pentathlon Men's Individual,NA
34729,Bjrn Bernt Ewald Ferm,M,28,180,72,Sweden,SWE,1972 Summer,1972,Summer,Munich,Modern Pentathlon,Modern Pentathlon Men's Team,NA
34730,"Sven Olof Erik ""Olle"" Ferm",M,17,182,72,Sweden,SWE,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 400 metres Individual Medley,NA
34730,"Sven Olof Erik ""Olle"" Ferm",M,21,182,72,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
34730,"Sven Olof Erik ""Olle"" Ferm",M,21,182,72,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Individual Medley,NA
34730,"Sven Olof Erik ""Olle"" Ferm",M,21,182,72,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 400 metres Individual Medley,NA
34731,"Jan Danil ""Daan"" Ferman",M,19,NA,NA,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Eights,NA
34732,Ramiro Fermin,M,20,180,89,Netherlands Antilles,AHO,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middle-Heavyweight,NA
34733,Raymundo Fermn Martnez,M,27,175,71,Dominican Republic,DOM,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Singles,NA
34733,Raymundo Fermn Martnez,M,27,175,71,Dominican Republic,DOM,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Doubles,NA
34734,Ennio Fermo,M,22,195,87,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Pairs,NA
34735,Fernanda Porto Venturini,F,17,180,66,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,NA
34735,Fernanda Porto Venturini,F,21,180,66,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,NA
34735,Fernanda Porto Venturini,F,25,180,66,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
34735,Fernanda Porto Venturini,F,33,180,66,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,NA
34736,Fernanda Neves Beling,F,25,183,68,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,NA
34737,"Fernando ""Fernando"" Roscio de vila",M,21,199,92,Brazil,BRA,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,NA
34737,"Fernando ""Fernando"" Roscio de vila",M,29,199,92,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
34738,Fernands,M,NA,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's epee, Individual",NA
34739,Aaron Fernandes,M,27,NA,NA,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,NA
34740,Alexandre Monteiro Dias Fernandes,M,25,NA,NA,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Fours,NA
34741,Amrico Garcia Fernandes,M,NA,175,NA,Brazil,BRA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Fours,NA
34742,Andressa Fernandes,F,21,NA,NA,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Lightweight,NA
34743,Anbal Ferreira Fernandes,M,28,187,80,Portugal,POR,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, Slalom",NA
